ldraw,color_code,color,sets
0901,2,Green,2
0902,2,Green,2
0903,2,Green,2
0904,2,Green,2
1,1,Blue,3
1,4,Red,3
1,14,Yellow,1
1,15,White,14
100,0,Black,605
100,1,Blue,218
100,2,Green,94
100,3,Dark_Turquoise,3
100,4,Red,442
100,5,Dark_Pink,16
100,6,Brown,6
100,7,Light_Gray,129
100,8,Dark_Gray,37
100,10,Bright_Green,1
100,14,Yellow,292
100,15,White,619
100,19,Tan,191
100,22,Purple,7
100,25,Orange,88
100,26,Magenta,3
100,27,Lime,36
100,28,Dark_Tan,78
100,29,Bright_Pink,16
100,30,Medium_Lavender,13
100,31,Lavender,6
100,69,Light_Purple,1
100,70,Reddish_Brown,299
100,71,Light_Bluish_Gray,434
100,72,Dark_Bluish_Gray,423
100,73,Medium_Blue,27
100,78,Light_Flesh,1
100,84,Medium_Dark_Flesh,2
100,85,Dark_Purple,14
100,89,Blue_Violet,3
100,191,Bright_Light_Orange,39
100,212,Bright_Light_Blue,2
100,226,Bright_Light_Yellow,11
100,272,Dark_Blue,55
100,288,Dark_Green,5
100,308,Dark_Brown,30
100,313,Maersk_Blue,2
100,320,Dark_Red,56
100,321,Dark_Azure,27
100,322,Medium_Azure,25
100,323,Light_Aqua,18
100,326,Yellowish_Green,2
100,330,Olive_Green,1
100,378,Sand_Green,23
100,379,Sand_Blue,7
100,484,Dark_Orange,5
10039,0,Black,10
10048,0,Black,1
10048,70,Reddish_Brown,6
10048,84,Medium_Dark_Flesh,14
10048,308,Dark_Brown,11
10048,484,Dark_Orange,7
10050,71,Light_Bluish_Gray,1
10052,0,Black,4
10052,15,White,28
10052,71,Light_Bluish_Gray,17
10054,308,Dark_Brown,0
10057,321,Dark_Azure,0
10058,19,Tan,4
10058,26,Magenta,1
10065,70,Reddish_Brown,2
10066,321,Dark_Azure,0
100907p01,191,Bright_Light_Orange,0
101,0,Black,1513
101,1,Blue,376
101,2,Green,305
101,3,Dark_Turquoise,14
101,4,Red,771
101,5,Dark_Pink,19
101,6,Brown,33
