ldraw,bricklink,name,category,colors
0901,0901,Baseplate 16 x 30 with Set 080 Yellow House Stud Pattern,Baseplate,1
0902,0902,Baseplate 16 x 24 with Set 080 Small White House Stud Pattern,Baseplate,1
0903,0903,Baseplate 16 x 24 with Set 080 Red House Stud Pattern,Baseplate,1
0904,0904,Baseplate 16 x 24 with Set 080 Large White House Stud Pattern,Baseplate,1
1,1,Homemaker Bookcase 2 x 4 x 4,Homemaker,4
10,10,Baseplate 24 x 32 - (Undetermined Type),,0
100,3665,"Slope, Inverted 45 2 x 1",,43
10039,10039c01,Pullback Motor 8 x 4 x 2/3,"Motor, Non-Electric",1
10048,10048,"Minifigure, Hair Tousled","Minifigure, Hair",4
10049,10049,"Minifigure, Shield Broad Spiked Bottom and Cutout Corner (Uruk-hai Shield)","Minifigure, Shield",0
10049p01,10049pb01,"Minifigure, Shield Broad Spiked Bottom and Cutout Corner (Uruk-hai Shield) with White Handprint Pattern","Minifigure, Shield",0
10050,10050,"Minifigure, Weapon Sword, Uruk-hai","Minifigure, Weapon",1
10051,10051,"Minifigure, Headgear Helmet Castle with Lateral Comb (Uruk-hai)","Minifigure, Headgear",0
10051p01,10051pb01,"Minifigure, Headgear Helmet Castle with Lateral Comb and Handprint Pattern","Minifigure, Headgear",0
10052,10052,"Minifigure Beard, Rounded End","Minifigure, Body Wear",3
10053,10053,"Minifigure, Weapon Sword, Small (Sting)","Minifigure, Weapon",0
10054,10054,"Minifigure, Headgear Helmet Castle with Cheek Protection and Comb (Rohan)","Minifigure, Headgear",1
10054p01,10054pb01,"Minifigure, Headgear Helmet Castle with Cheek Protection and Comb with Gold Trim Pattern (Eomer)","Minifigure, Headgear",0
10054p02,10054pb02,"Minifigure, Headgear Helmet Castle with Cheek Protection and Comb with Gold Icons Pattern (King Theoden)","Minifigure, Headgear",0
10055,-10055,"Minifigure, Hair Long Straight with Elf Ears",,0
10055p01,10055pb01,"Minifigure, Hair Long Straight with Light Nougat Elf Ears Pattern","Minifigure, Hair",0
10056,-10056,"Minifigure, Headgear Helmet Castle with Cheek and Neck Protection and Armor Panels",,0
10056p01,10056pb01,"Minifigure, Headgear Helmet Castle with Cheek and Neck Protection and Armor Panels with Copper Ornaments Pattern (Gimli)","Minifigure, Headgear",0
10057,,minifig gollum,,0
10057pm0,10057pb01,"Body / Head Gollum, Right Knee Forward with Dark Brown Loincloth, Dark Tan Wrinkles, Dark Bluish Gray Hair, Open Mouth and Wide Eyes Pattern","Minifigure, Body Part",0
10057pm1,10057pb02,"Body / Head Gollum, Right Knee Forward with Dark Brown Loincloth, Dark Tan Wrinkles, Dark Bluish Gray Hair, Open Mouth and Narrow Eyes Pattern","Minifigure, Body Part",0
10058,10058,Arm Bent,"Minifigure, Body Part",2
1006030,-1006030,,,0
1006030p01,-ftgpb422c01,,,0
1006030p02,-ftgpb451c01,,,0
1006030p04,1006030p04,,,0
1006334,-1006334,,,0
1006334p01,-ftbpb081c01,,,0
1006334p02,1006334p02,,,0
10065,10065,"Minifigure Beard, Full with Braided Moustache Ends (Gimli)","Minifigure, Body Wear",1
10066,,minifig hair orc with ears,,0
100662,-100662,"Minifigure, Baby / Toddler Head with Molded Space Helmet and Air Tanks",,0
100662p01-bl,100662pb01,"Minifigure, Head, Modified Baby / Toddler with Molded Blue Space Helmet and Air Tanks and Printed Black Grin and Eyes with White Glints Pattern","Minifigure, Head, Modified",0
100662p02-bl,100662pb02,"Minifigure, Head, Modified Baby / Toddler with Molded Blue Space Helmet and Air Tanks and Printed Black Grin and Eyes Pattern","Minifigure, Head, Modified",0
100662p03-bl,100662pb03,"Minifigure, Head, Modified Baby / Toddler with Molded White Space Helmet and Air Tanks and Printed Black Grin and Eyes Pattern","Minifigure, Head, Modified",0
10066p01,10066pb01,"Minifigure, Hair Long and Combed Back with Dark Tan Pointed Ears Pattern","Minifigure, Hair",0
10066p02,10066pb03,"Minifigure, Hair Long and Combed Back with Medium Nougat Pointed Ears Pattern","Minifigure, Hair",0
10066p03,10066pb02,"Minifigure, Hair Long and Combed Back with Olive Green Pointed Ears Pattern","Minifigure, Hair",0
100811,-100811,,,0
100811p01,ftgpb422c01,"Torso Mini Doll Girl Dark Turquoise Vest with Dark Blue and Tan Triangles over Shirt Pattern, Light Nougat Arm Left, Light Nougat Arm with Hand Right","Mini Doll, Torso Assembly",0
100907,-100907,,,0
100907p01,100907pb01,"Minifigure, Hair Female Curled Fringe and Bun, Hole on Top with Molded Bright Light Blue Band and Earrings Pattern","Minifigure, Hair",0
100937,-100937,,,0
100937p01,-100937p01,,,0
100937p02,-100937p02,,,0
