set,name,theme,year,models
10001-1,Metroliner,Train,2001,2
10002-1,Railroad Club Car,Train,2001,1
10013-1,Open Freight Wagon,Train > 9V,2001,1
10014-1,Caboose,Train > 9V,2001,1
10015-1,Passenger Wagon,Train > 9V,2001,1
10016-1,Tanker,Train > 9V,2001,1
10017-1,Hopper Wagon,Train > 9V,2001,1
10018-1,Darth Maul,Star Wars > Ultimate Collector Series,2001,1
10019-1,Rebel Blockade Runner,Star Wars > Ultimate Collector Series,2001,1
10020-1,Santa Fe Super Chief,Train > 9V,2002,1
10022-1,"Santa Fe Cars - Set II (dining, observation, or sleeping car)",Train > 9V,2002,3
10025-1,Santa Fe Cars - Set I (mail or baggage car),Train > 9V,2002,2
10030-1,Imperial Star Destroyer,Star Wars > Ultimate Collector Series,2002,1
10036-1,Pizza To Go,Town,2002,1
10037-1,Breezeway Cafe,Town,2002,1
10124-1,Wright Flyer,Creator > Creator Expert,2003,1
10128-1,Train Level Crossing,Town > World City,2003,1
10129-1,Rebel Snowspeeder,Star Wars > Ultimate Collector Series,2003,1
10133-1,Burlington Northern Santa Fe Locomotive,Train > 9V,2004,1
10134-1,Y-wing Attack Starfighter,Star Wars > Ultimate Collector Series,2004,1
10143-1,Death Star II,Star Wars > Ultimate Collector Series,2005,1
10156-1,LEGO Truck,Town,2004,1
10158-1,High Speed Train Car,Town > World City,2004,1
10159-1,City Airport,City > Airport,2004,1
10170-1,TTX Intermodal Double-Stack Car,Train > 9V,2005,1
10174-1,Imperial AT-ST,Star Wars > Ultimate Collector Series,2006,1
10175-1,Vader's TIE Advanced,Star Wars > Ultimate Collector Series,2006,1
10176-1,Royal King's Castle,Castle > Knights Kingdom II,2006,1
10179-1,Millennium Falcon,Star Wars > Ultimate Collector Series,2007,1
10182-1,Cafe Corner,Modular Buildings,2007,1
10183-1,Hobby Train,Factory,2007,20
10184-1,Town Plan,Town > Town Plan,2008,1
10185-1,Green Grocer,Modular Buildings,2008,1
10190-1,Market Street,Modular Buildings,2007,1
10194-1,Emerald Night,Creator > Creator Expert,2009,1
10197-1,Fire Brigade,Modular Buildings,2009,1
10205-1,Locomotive,Train > 9V,2002,1
10212-1,Imperial Shuttle,Star Wars > Ultimate Collector Series,2010,1
10213-1,Shuttle Adventure,Creator > Creator Expert,2010,1
10214-1,Tower Bridge,Creator > Creator Expert,2010,1
10218-1,Pet Shop,Modular Buildings,2011,1
10220-1,Volkswagen T1 Camper Van,Creator > Creator Expert,2011,1
10224-1,Town Hall,Modular Buildings,2012,1
10226-1,Sopwith Camel,Creator > Creator Expert,2012,1
10227-1,B-wing Starfighter,Star Wars > Ultimate Collector Series,2012,1
10230-1,Mini Modulars,Modular Buildings > Mini,2012,1
10232-1,Palace Cinema,Modular Buildings,2013,1
10233-1,Horizon Express,Creator > Creator Expert,2013,1
10240-1,Red Five X-Wing Starfighter,Star Wars > Ultimate Collector Series,2013,1
10241-1,Maersk Line Triple-E,Creator > Creator Expert,2014,1
10242-1,MINI Cooper,Creator > Creator Expert,2014,1
10243-1,Parisian Restaurant,Modular Buildings,2014,1
10246-1,Detective’s Office,Modular Buildings,2015,1
10248-1,Ferrari F40,Creator > Creator Expert,2015,1
10251-1,Brick Bank,Modular Buildings,2016,1
10252-1,Volkswagen Beetle,Creator > Creator Expert,2016,1
10253-1,Big Ben,Creator > Creator Expert,2016,1
10256-1,Taj Mahal,Creator > Creator Expert,2017,1
10258-1,London Bus,Creator > Creator Expert,2017,1
10261-1,Roller Coaster,Creator > Creator Expert,2018,1
10262-1,James Bond Aston Martin DB5,Creator > Creator Expert,2018,1
10264-1,Corner Garage,Modular Buildings,2019,1
10265-1,Ford Mustang,Creator > Creator Expert,2019,2
10267-1,Gingerbread House,Seasonal > Christmas > Creator,2019,1
10269-1,Harley-Davidson Fat Boy,Creator > Creator Expert,2019,1
10270-1,Bookshop,Modular Buildings,2020,1
10271-1,Fiat 500,Creator > Creator Expert,2020,1
10272-1,Old Trafford - Manchester United,Creator > Creator Expert,2020,1
10276-1,Colosseum,Icons,2020,1
10277-1,Crocodile Locomotive,Icons,2020,1
10278-1,Police Station,Modular Buildings,2021,1
10280-1,Flower Bouquet,Botanicals,2021,1
10281-1,Bonsai,Botanicals,2021,2
10283-1,NASA Space Shuttle Discovery,Icons,2021,1
1029-1,Milk Delivery Truck - Tine,Town,1999,1
10294-1,Titanic,Icons,2021,1
10295-1,Porsche 911 Turbo & 911 Targa,Icons,2021,2
10297-1,Boutique Hotel,Modular Buildings,2022,1
10298-1,Vespa 125,Icons,2022,1
10315-1,Tranquil Garden,Icons,2023,1
10349-1,Happy Plants,Botanicals,2025,1
10359-1,Fountain Garden,Icons,2025,1
106-1,UNICEF Van,Town > Classic Town,1985,1
1069-1,Speedboat,Town > Res-Q,1999,1
107-2,Canada Post Mail Truck,Town > Classic Town,1985,1
10885-1,My First Fun Puzzle,Duplo,2019,1
10918-1,Tow Truck,Duplo > Town,2020,1
1096-1,Race Buggy,Town > Extreme Team,1997,1
1097-1,Res-Q Runner,Town > Res-Q,1999,1
112-2,Locomotive with Motor,Train > 4.5V,1966,1
1180-1,Space Port Moon Buggy,Town > Space Port,1999,1
121-1,Roadster,Fabuland,1979,1
1210-2,Small Store Set,System > Town Plan,1955,2
1211-2,Small House Set,System > Town Plan,1955,2
1212-2,Small House - Left Set,System > Town Plan,1955,1
1213-2,Small House - Right Set,System > Town Plan,1955,1
126-1,Steam Locomotive (Push),Train > 4.5V,1970,1
1462-1,Galactic Scout,Space > Blacktron II,1992,1
1472-1,Holiday Home,Town > Classic Town,1987,1
1477-1,{Red Race Car Number 3},Town > Classic Town,1991,1
1478-1,Mobile Satellite Up-Link,Space > M:Tron,1991,1
1479-1,2-Pilot Craft,Space > Blacktron II,1991,1
148-1,Central Station,Train > 4.5V,1975,1
1484-1,Weetabix Town House,Town > Classic Town,1987,1
1489-1,Mobile Car Crane,Town > Classic Town,1989,1
1490-1,Town Bank,Town > Classic Town,1988,1
1496-1,Rally Car,Town > Classic Town,1987,1
1499-1,Twin Starfire,Space > Classic Space,1987,1
1517-1,Race Car,Town > Classic Town,1989,1
1528-1,Dragster,Town > Classic Town,1986,1
1557-1,Scooter,Space > Classic Space,1986,1
1572-1,Super Tow Truck,Town > Classic Town,1986,1
158-1,Railroad Crossing Gate,Train > 4.5V,1969,1
1591-1,Danone Truck,Town > Classic Town,1980,1
1620-1,Astro Dart,Space > Futuron,1990,1
1621-1,Lunar MPV Vehicle,Space > Futuron,1990,1
1631-1,Black Racer,Town > Classic Town,1990,1
1632-1,Motor Boat,Town > Classic Town,1990,1
1633-1,Loader Tractor,Town > Classic Town,1990,1
164-1,Passenger Wagon,Train > 4.5V,1978,3
165-1,Cargo Station,Train > 4.5V,1978,1
1656-1,Evacuation Team,Town > Classic Town,1991,1
166-1,Flat Wagon,Train > 4.5V,1978,1
167-1,Loading Ramp and Car Transport Wagon,Train > 4.5V,1978,1
1680-1,Hay Cart with Smugglers,Castle > Forestmen,1990,1
1682-1,Space Shuttle,Town > Classic Town,1990,1
1702-1,Fire Fighter 4 x 4,Town > Classic Town,1994,1
1704-1,Ice Planet Satellite Plough,Space > Ice Planet 2002,1994,1
17101-1,Creative Toolbox,Other,2017,2
1713-1,Shipwrecked Pirate,Pirates > Pirates I,1994,1
