code,name,rgb,studio_rgb,solid,common
0,Black,05131d,04121c,1,1
1,Blue,0055bf,0054be,1,1
2,Green,257a3e,24793d,1,1
3,Dark_Turquoise,00838f,00828e,1,0
4,Red,c91a09,c81908,1,1
5,Dark_Pink,c870a0,c76f9f,1,1
6,Brown,583927,573826,1,0
7,Light_Gray,9ba19d,9aa09c,1,0
8,Dark_Gray,6d6e5c,6c6d5b,1,0
9,Light_Blue,b4d2e3,b3d1e2,1,0
10,Bright_Green,4b9f4a,4a9e49,1,0
11,Light_Turquoise,55a5af,54a4ae,1,0
12,Salmon,f2705e,f16f5d,1,0
13,Pink,fc97ac,fb96ab,1,1
14,Yellow,f2cd37,f1cc36,1,1
15,White,ffffff,fefefe,1,1
17,Light_Green,c2dab8,c1d9b7,1,0
18,Light_Yellow,fbe696,fae595,1,0
19,Tan,e4cd9e,e3cc9d,1,1
20,Light_Violet,c9cae2,c9cae2,1,0
22,Purple,81007b,80007a,1,1
23,Dark_Blue_Violet,2032b0,1f31af,1,0
25,Orange,fe8a18,fd8917,1,1
26,Magenta,923978,913877,1,1
27,Lime,bbe90b,bae80a,1,1
28,Dark_Tan,958a73,948972,1,1
29,Bright_Pink,e4adc8,e3acc7,1,1
30,Medium_Lavender,ac78ba,ab77b9,1,1
31,Lavender,e1d5ed,e0d4ec,1,1
68,Very_Light_Orange,f3cf9b,f2ce9a,1,0
69,Light_Purple,cd6298,af3195,1,1
70,Reddish_Brown,582a12,572911,1,1
71,Light_Bluish_Gray,a0a5a9,9fa4a8,1,1
72,Dark_Bluish_Gray,6c6e68,6b6d67,1,1
73,Medium_Blue,5c9dd1,5b9cd0,1,1
74,Medium_Green,73dca1,72dba0,1,1
77,Light_Pink,fecccf,fdcbce,1,0
78,Light_Flesh,f6d7b3,f5d6b2,1,1
84,Medium_Dark_Flesh,cc702a,e3a05b,1,1
85,Dark_Purple,3f3691,3e3590,1,1
86,Dark_Flesh,7c503a,7b4f39,1,1
89,Blue_Violet,4c61db,4b60da,1,0
92,Flesh,d09168,cf9067,1,1
100,Light_Salmon,febabd,fdb9bc,1,0
110,Violet,4354a3,4253a2,1,0
112,Medium_Violet,6874ca,6773c9,1,1
115,Medium_Lime,c7d23c,c6d13b,1,0
118,Aqua,b3d7d1,b2d6d0,1,0
120,Light_Lime,d9e4a7,e2db5f,1,0
125,Light_Orange,f9ba61,f8b960,1,0
151,Very_Light_Bluish_Gray,e6e3e0,e5e2df,1,1
191,Bright_Light_Orange,f8bb3d,f7ba3c,1,1
