part,name,color_code,color,quantity
3005,Brick 1 x 1,0,Black,32
3004,Brick 1 x 2,0,Black,30
3004,Brick 1 x 2,15,White,15
3007,Brick 2 x 8,0,Black,14
3008,Brick 1 x 8,0,Black,13
3005,Brick 1 x 1,15,White,12
3010,Brick 1 x 4,0,Black,12
3004,Brick 1 x 2,5,Dark_Pink,11
3005,Brick 1 x 1,4,Red,10
3004,Brick 1 x 2,4,Red,10
3001,Brick 2 x 4,0,Black,10
3004,Brick 1 x 2,1,Blue,9
3003,Brick 2 x 2,0,Black,9
2456,Brick 2 x 6,0,Black,8
3005,Brick 1 x 1,1,Blue,7
3005,Brick 1 x 1,212,Bright_Light_Blue,7
3004,Brick 1 x 2,29,Bright_Pink,7
3003,Brick 2 x 2,15,White,7
3004,Brick 1 x 2,212,Bright_Light_Blue,6
3009,Brick 1 x 6,0,Black,6
3005,Brick 1 x 1,5,Dark_Pink,5
3004,Brick 1 x 2,462,Medium_Orange,5
3003,Brick 2 x 2,5,Dark_Pink,5
3005,Brick 1 x 1,323,Light_Aqua,4
3003,Brick 2 x 2,212,Bright_Light_Blue,4
3005,Brick 1 x 1,462,Medium_Orange,3
3004,Brick 1 x 2,323,Light_Aqua,3
3010,Brick 1 x 4,1,Blue,3
3003,Brick 2 x 2,462,Medium_Orange,3
3005,Brick 1 x 1,29,Bright_Pink,2
3005,Brick 1 x 1,14,Yellow,2
3003,Brick 2 x 2,323,Light_Aqua,2
3004,Brick 1 x 2,14,Yellow,1
3010,Brick 1 x 4,29,Bright_Pink,1
3010,Brick 1 x 4,323,Light_Aqua,1
3010,Brick 1 x 4,4,Red,1
3010,Brick 1 x 4,15,White,1
3009,Brick 1 x 6,462,Medium_Orange,1
3008,Brick 1 x 8,323,Light_Aqua,1
3003,Brick 2 x 2,4,Red,1
3001,Brick 2 x 4,212,Bright_Light_Blue,1
3001,Brick 2 x 4,29,Bright_Pink,1
3001,Brick 2 x 4,323,Light_Aqua,1
3001,Brick 2 x 4,4,Red,1
3001,Brick 2 x 4,15,White,1
2456,Brick 2 x 6,323,Light_Aqua,1
